Sexo,Habito
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Hombre,Fuma
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Nunca
Mujer,Dejo
Mujer,Dejo
Mujer,Dejo
Mujer,Dejo
Mujer,Dejo
Mujer,Dejo
Mujer,Dejo
Mujer,Dejo
Mujer,Dejo
Mujer,Dejo
Mujer,Dejo
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
Mujer,Fuma
